"","3Fr","Alk","Ane","Col","Dia","Dts","Geb","Hag","Hus","Mul","Odi","Ros","Sav","Sel","Wis"
"2014-05-30",54,49,45,187,96,0,46,128,162,206,101,23,102,103,35
"2014-05-31",55,47,47,209,101,0,50,104,116,178,91,26,70,103,39
"2014-06-01",59,8,0,193,85,0,64,122,121,200,77,16,88,115,31
"2014-06-02",58,25,0,189,87,0,48,107,117,182,94,29,78,103,42
"2014-06-03",52,43,0,181,97,0,37,80,149,176,76,25,67,87,46
"2014-06-04",42,24,0,184,73,0,42,75,122,176,61,25,88,74,21
"2014-06-05",46,45,0,207,91,0,40,88,126,171,87,23,77,91,34
"2014-06-06",41,46,0,197,72,0,36,87,175,185,79,26,83,71,40
"2014-06-07",59,15,0,226,94,0,69,106,159,200,83,16,81,93,39
"2014-06-08",53,5,0,211,85,0,56,117,153,203,90,20,87,116,50
"2014-06-09",48,8,0,231,79,0,55,122,132,184,104,15,120,111,50
"2014-06-10",53,15,0,215,92,0,64,112,154,205,92,31,101,89,46
"2014-06-11",50,10,0,189,88,0,65,112,140,163,83,35,93,91,45
"2014-06-12",59,20,0,222,75,0,56,104,158,186,76,35,92,96,34
"2014-06-13",48,32,54,218,79,0,50,112,148,65,86,24,89,7,51
"2014-06-14",49,52,64,229,78,0,49,121,111,36,89,19,91,0,42
"2014-06-15",63,4,57,225,76,0,64,116,124,184,90,16,88,104,53
"2014-06-16",35,57,59,225,101,0,49,104,128,191,94,31,97,101,41
"2014-06-17",50,18,47,220,92,0,46,98,144,151,67,28,81,85,29
"2014-06-18",42,34,59,191,100,0,46,113,92,171,82,25,80,82,34
"2014-06-19",46,35,68,209,91,0,54,97,134,43,74,26,84,79,39
"2014-06-20",43,43,46,204,104,0,55,91,141,160,57,29,77,86,28
"2014-06-21",52,51,40,184,91,0,48,106,126,181,84,19,80,110,46
"2014-06-22",52,47,52,199,87,0,48,121,115,195,89,17,90,119,59
"2014-06-23",56,48,55,220,92,0,62,107,170,182,93,31,84,89,40
"2014-06-24",39,46,55,181,83,0,48,90,128,157,84,16,100,82,24
"2014-06-25",58,54,49,183,86,0,42,111,129,147,74,30,72,74,33
"2014-06-26",39,45,46,189,72,0,52,87,142,157,64,21,77,83,33
"2014-06-27",45,53,42,182,83,0,45,113,145,157,70,24,67,71,31
"2014-06-28",41,53,56,190,76,0,44,103,103,196,68,14,80,113,31
"2014-06-29",52,43,50,176,92,0,46,133,133,162,94,7,78,105,37
"2014-06-30",48,47,57,216,70,0,41,119,117,169,83,35,96,105,33
"2014-07-01",44,45,39,171,79,0,45,129,107,26,77,26,75,89,33
"2014-07-02",45,41,52,176,76,0,41,122,122,139,59,20,82,84,33
"2014-07-03",43,43,61,189,76,0,46,139,92,66,63,24,80,85,34
"2014-07-04",40,41,38,175,77,0,41,109,134,162,71,21,83,79,43
"2014-07-05",45,36,56,200,80,0,51,125,118,186,90,19,80,87,43
"2014-07-06",53,49,55,206,86,0,57,152,105,207,77,21,95,126,35
"2014-07-07",47,36,52,184,92,0,44,142,136,182,77,23,94,83,41
"2014-07-08",27,45,41,205,74,0,45,135,124,147,52,15,65,59,25
"2014-07-09",44,38,31,164,73,0,26,116,107,172,61,19,70,68,31
"2014-07-10",31,37,50,164,76,0,44,101,119,33,53,26,53,80,23
"2014-07-11",47,34,34,184,77,0,45,112,141,161,66,15,87,96,37
"2014-07-12",46,30,56,195,70,0,43,129,123,169,60,12,66,118,35
"2014-07-13",52,68,55,191,69,0,56,154,96,175,84,15,67,105,37
"2014-07-14",50,41,43,222,78,0,44,129,101,196,91,17,72,117,49
"2014-07-15",55,35,62,201,91,0,44,135,122,35,66,22,79,96,43
"2014-07-16",49,38,46,210,86,0,46,111,117,153,87,27,77,84,31
"2014-07-17",41,54,33,182,76,0,42,129,113,155,64,23,50,80,38
"2014-07-18",52,40,46,195,71,0,43,127,151,191,60,21,70,84,32
"2014-07-19",56,53,65,163,88,0,46,114,124,177,72,17,86,88,36
"2014-07-20",55,44,44,213,78,0,52,139,112,161,81,21,90,89,34
"2014-07-21",54,46,48,210,90,0,52,115,119,170,81,26,89,83,30
"2014-07-22",35,44,40,182,93,0,40,116,154,154,65,29,82,83,38
"2014-07-23",44,47,45,204,84,0,49,126,131,102,71,27,80,75,43
"2014-07-24",48,36,29,192,74,0,38,126,130,186,64,28,62,74,32
"2014-07-25",39,40,39,184,74,0,54,122,115,160,78,14,79,72,39
"2014-07-26",39,44,48,167,87,0,39,137,109,201,78,24,73,102,42
"2014-07-27",53,51,40,165,86,0,51,123,86,179,77,11,81,79,34
"2014-07-28",38,47,38,198,93,0,45,126,128,176,70,24,75,91,49
"2014-07-29",47,46,0,173,70,0,34,92,133,53,60,25,73,74,28
"2014-07-30",28,37,0,159,88,0,43,102,122,152,59,13,71,70,34
"2014-07-31",36,39,0,165,63,0,42,95,119,178,71,20,68,80,37
"2014-08-01",40,37,0,161,80,0,37,104,143,163,64,21,62,71,38
"2014-08-02",48,32,0,171,78,0,41,116,114,37,71,23,62,103,40
"2014-08-03",40,56,0,167,66,0,54,105,133,168,78,17,61,82,41
"2014-08-04",48,45,0,166,89,0,37,122,125,160,76,18,75,77,37
"2014-08-05",50,38,0,180,83,0,55,112,130,149,48,26,74,82,36
"2014-08-06",39,38,0,154,76,0,46,119,114,152,71,24,69,82,27
"2014-08-07",38,37,0,179,76,0,32,125,124,163,68,18,62,68,43
"2014-08-08",45,35,0,174,83,0,54,101,140,147,61,11,66,78,43
"2014-08-09",47,41,0,186,73,0,48,130,116,175,82,18,62,93,39
"2014-08-10",45,37,0,197,69,0,51,116,110,138,70,22,72,102,40
"2014-08-11",43,51,0,223,77,0,44,118,117,171,74,31,72,94,35
"2014-08-12",54,46,0,166,76,0,50,110,144,165,69,27,72,72,40
"2014-08-13",42,43,0,175,76,0,38,126,120,134,52,33,71,65,31
"2014-08-14",37,34,0,154,69,0,41,92,119,162,67,20,83,75,35
"2014-08-15",38,39,0,157,70,22,40,98,78,149,64,10,55,78,28
"2014-08-16",49,54,0,178,77,22,36,147,120,191,74,22,67,82,30
"2014-08-17",37,46,0,170,69,19,42,116,111,166,53,16,81,100,32
"2014-08-18",41,40,46,212,89,32,39,112,123,170,74,40,54,88,43
"2014-08-19",40,44,26,147,67,18,32,105,120,161,45,29,64,71,27
"2014-08-20",26,0,37,153,74,18,39,116,107,142,52,21,72,60,40
"2014-08-21",48,0,41,169,80,20,35,104,145,155,44,21,56,65,20
"2014-08-22",39,0,38,156,88,22,35,88,115,161,58,30,77,64,28
"2014-08-23",52,0,40,176,82,17,38,101,110,164,57,25,72,92,32
"2014-08-24",37,0,32,188,78,22,47,114,83,179,65,11,79,104,25
"2014-08-25",48,0,53,169,85,28,44,108,136,142,82,24,87,84,28
"2014-08-26",33,0,44,176,68,26,45,78,128,140,54,21,68,73,28
"2014-08-27",46,0,36,162,62,32,38,105,136,150,72,24,87,80,27
"2014-08-28",48,0,37,178,78,27,36,115,112,158,58,23,64,76,32
"2014-08-29",44,0,47,184,94,22,49,109,140,136,66,32,71,79,25
"2014-08-30",44,0,48,165,84,36,51,124,129,165,80,20,81,80,39
"2014-08-31",38,0,51,184,77,28,40,120,81,167,59,12,70,94,27
"2014-09-01",43,0,39,164,86,27,39,105,141,65,66,23,78,82,32
"2014-09-02",32,0,30,138,62,26,37,87,95,141,59,22,72,60,38
"2014-09-03",41,0,36,191,64,31,30,87,113,145,65,31,71,61,33
"2014-09-04",33,0,46,170,73,31,36,93,119,147,68,27,65,81,47
"2014-09-05",39,0,36,183,81,21,44,105,114,159,64,27,85,76,28
"2014-09-06",47,0,55,177,76,26,56,109,133,194,91,20,90,85,43
"2014-09-07",52,0,51,206,80,18,47,154,105,206,99,19,85,121,35
"2014-09-08",37,0,49,216,95,38,58,99,134,175,95,31,97,86,43
"2014-09-09",35,0,50,168,84,31,50,98,131,185,62,27,81,85,30
"2014-09-10",37,0,42,177,75,30,45,119,105,155,62,25,81,70,32
"2014-09-11",37,0,45,180,84,28,45,116,89,120,65,26,72,76,27
"2014-09-12",37,0,42,192,99,22,36,109,147,147,68,32,66,79,21
"2014-09-13",45,0,68,209,72,30,53,93,128,171,78,24,67,96,33
"2014-09-14",61,0,48,212,84,23,49,147,112,184,94,19,71,87,43
"2014-09-15",38,0,56,206,97,35,59,116,117,176,73,24,77,95,33
"2014-09-16",40,0,0,175,80,32,46,119,131,158,77,23,72,96,32
"2014-09-17",47,0,0,201,82,34,53,116,140,155,76,21,90,82,46
"2014-09-18",47,0,0,189,76,21,48,121,140,168,77,23,85,96,35
"2014-09-19",34,0,0,215,83,35,35,122,143,177,71,25,74,86,38
"2014-09-20",53,0,0,188,85,24,57,128,134,189,112,32,78,82,33
"2014-09-21",46,0,0,203,82,21,45,141,133,176,91,14,76,14,46
"2014-09-22",58,0,0,195,80,24,53,120,135,156,84,29,81,99,40
"2014-09-23",39,31,0,179,71,26,42,125,130,101,62,20,87,80,37
"2014-09-24",42,40,0,183,68,36,45,119,134,171,68,16,81,64,31
"2014-09-25",32,38,0,193,95,22,45,95,114,152,77,20,73,85,34
"2014-09-26",41,37,0,195,68,37,44,108,165,191,80,21,79,82,22
"2014-09-27",50,51,54,215,81,24,52,128,124,187,90,24,86,83,36
"2014-09-28",42,45,51,175,80,34,48,155,117,211,81,19,90,103,49
"2014-09-29",48,65,64,220,88,31,62,128,113,60,97,35,92,105,42
"2014-09-30",35,62,44,181,77,31,61,108,139,163,83,22,77,80,40
"2014-10-01",47,43,52,186,79,27,41,101,131,164,78,27,84,85,38
"2014-10-02",54,46,45,214,74,27,44,114,129,205,72,31,87,93,52
"2014-10-03",46,35,49,185,77,39,45,140,132,201,83,25,84,78,34
"2014-10-04",58,46,52,199,68,37,52,144,141,178,94,20,65,92,34
"2014-10-05",40,44,65,205,76,12,46,145,111,186,98,19,79,102,43
"2014-10-06",47,55,37,231,91,43,60,146,139,155,80,25,97,94,0
"2014-10-07",38,45,41,167,77,27,45,98,415,159,72,17,80,64,0
"2014-10-08",52,35,42,161,71,32,44,125,422,173,66,26,93,65,0
"2014-10-09",46,52,31,192,80,36,35,111,426,173,80,13,70,68,0
"2014-10-10",59,49,33,216,85,23,37,104,467,177,77,24,80,78,0
"2014-10-11",58,40,44,199,85,34,39,125,437,108,92,21,71,91,0
"2014-10-12",47,38,48,196,78,37,39,160,466,196,88,16,87,112,0
"2014-10-13",47,56,58,240,95,36,51,140,465,190,85,41,87,98,0
"2014-10-14",38,46,35,194,71,28,40,120,449,164,78,27,87,81,37
"2014-10-15",41,42,41,191,80,25,38,95,295,50,83,27,71,64,33
"2014-10-16",35,35,47,174,94,37,44,117,344,168,69,24,72,81,32
"2014-10-17",56,44,45,194,76,21,50,107,321,178,87,34,86,68,34
"2014-10-18",58,51,48,195,103,33,51,126,329,199,85,21,78,95,31
"2014-10-19",56,60,50,203,67,36,57,144,350,180,89,16,81,94,38
"2014-10-20",39,42,48,244,89,38,46,132,341,197,76,28,69,83,42
"2014-10-21",38,42,0,166,86,33,28,105,311,175,60,22,71,75,0
"2014-10-22",42,43,0,156,63,28,38,108,279,151,64,23,86,71,0
"2014-10-23",47,42,0,171,71,29,47,123,279,187,73,20,86,73,0
"2014-10-24",42,46,0,172,80,31,51,121,268,75,85,40,86,67,0
"2014-10-25",46,42,0,165,80,27,35,110,311,174,66,22,85,93,0
"2014-10-26",45,52,0,172,77,23,42,117,311,212,80,16,80,97,0
"2014-10-27",51,57,0,174,101,29,44,118,301,175,66,27,95,79,0
"2014-10-28",50,38,0,172,78,28,30,84,265,45,61,21,64,1,0
"2014-10-29",33,37,0,171,73,27,32,101,256,149,57,29,84,0,0
"2014-10-30",42,40,25,164,89,26,39,107,271,160,59,21,66,0,0
"2014-10-31",50,39,34,185,94,20,44,119,277,175,66,18,79,0,0
"2014-11-01",68,54,54,194,77,20,45,122,347,206,73,24,71,0,40
"2014-11-02",51,42,50,166,87,29,54,137,329,190,96,12,90,0,36
"2014-11-03",45,46,52,206,93,45,35,118,302,177,91,24,93,103,32
"2014-11-04",45,36,39,169,76,23,40,103,290,169,66,20,80,65,39
"2014-11-05",38,39,49,149,68,26,43,101,253,184,58,27,73,73,34
"2014-11-06",47,50,40,185,77,28,37,111,304,175,82,16,76,78,24
"2014-11-07",44,38,54,157,78,36,35,116,293,112,74,25,79,85,31
"2014-11-08",48,48,34,151,90,18,42,144,290,192,87,22,73,88,43
"2014-11-09",40,45,55,192,62,17,58,129,308,191,79,19,62,85,31
"2014-11-10",46,61,48,209,94,36,48,136,304,171,79,21,100,83,34
"2014-11-11",40,45,39,177,69,21,38,113,258,173,74,12,82,69,23
"2014-11-12",47,43,57,190,95,28,46,108,290,186,71,27,90,81,22
"2014-11-13",42,46,49,158,77,26,51,123,293,165,62,21,65,91,27
"2014-11-14",38,35,31,165,87,28,37,134,314,190,67,23,78,73,32
"2014-11-15",37,46,51,175,88,21,41,133,358,168,76,17,81,88,39
"2014-11-16",52,42,48,147,72,19,33,128,314,195,85,10,56,97,44
"2014-11-17",40,53,44,186,82,49,37,116,315,196,69,26,88,1,45
"2014-11-18",41,38,36,183,61,39,42,98,291,170,79,28,78,91,35
"2014-11-19",46,46,47,186,79,30,37,115,286,193,56,15,77,75,37
"2014-11-20",34,41,50,204,73,23,50,121,306,167,65,33,95,77,28
"2014-11-21",45,35,47,152,75,26,40,124,300,188,78,20,70,84,35
"2014-11-22",43,40,49,172,76,34,34,148,308,181,71,26,81,85,37
"2014-11-23",45,52,65,186,73,35,42,132,341,192,96,23,88,93,40
"2014-11-24",40,49,38,207,87,38,44,139,318,44,83,23,74,85,40
"2014-11-25",36,44,37,169,72,32,38,103,283,149,68,24,90,81,24
"2014-11-26",27,42,49,172,85,34,30,112,293,170,68,22,71,64,29
"2014-11-27",41,33,42,165,81,29,37,117,310,168,67,27,71,87,32
"2014-11-28",39,37,44,189,87,30,33,117,296,169,56,34,72,71,24
"2014-11-29",38,50,47,161,84,26,50,119,314,176,71,18,60,93,29
"2014-11-30",65,45,51,180,58,25,45,134,333,186,76,13,75,88,36
"2014-12-01",41,48,49,188,81,33,38,136,297,180,75,41,91,88,30
"2014-12-02",29,31,37,181,78,23,46,111,304,146,69,17,79,71,33
"2014-12-03",43,51,54,181,61,23,36,111,283,179,62,14,75,61,30
"2014-12-04",38,35,43,169,71,33,36,121,305,51,60,23,72,81,31
"2014-12-05",46,45,40,207,88,47,46,105,306,176,87,26,77,2,39
"2014-12-06",38,43,38,180,85,26,40,136,353,42,77,28,84,91,37
"2014-12-07",60,31,61,183,63,19,43,133,357,193,64,18,91,93,27
"2014-12-08",58,62,47,189,78,35,40,132,322,170,83,30,88,96,34
"2014-12-09",45,45,31,196,76,26,29,129,286,193,61,24,68,82,25
"2014-12-10",43,30,51,166,71,22,41,104,271,170,79,22,87,75,27
"2014-12-11",38,47,32,155,84,27,53,104,289,170,70,14,71,84,32
"2014-12-12",50,42,33,214,87,26,44,119,325,168,69,28,84,73,30
"2014-12-13",51,54,42,196,87,22,50,124,330,195,58,13,78,92,35
"2014-12-14",53,39,38,198,80,9,42,135,317,181,74,7,67,94,50
"2014-12-15",49,51,49,199,89,32,35,121,355,149,76,26,105,79,35
"2014-12-16",39,38,49,175,74,25,42,125,293,165,54,16,87,77,33
"2014-12-17",48,55,38,184,76,29,44,120,297,157,1,25,83,80,30
